                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1426,                 2.0608,                 1.3881,                  0.583,                0.58587,                0.57765,                0.38425,                 1.1247,                 1.6523,                 1.4573,             0.00055256,             0.00055256,             0.00055256
                      2,                 1.2293,                 1.5756,                  1.396,                0.64715,                0.57207,                 0.6355,                0.41199,                 1.2681,                 1.4285,                 1.5621,              0.0010973,              0.0010973,              0.0010973
                      3,                 1.2557,                  1.371,                   1.41,                0.78035,                0.58045,                 0.6869,                0.47827,                 1.2588,                 1.2675,                 1.5474,               0.001631,               0.001631,               0.001631
                      4,                 1.2208,                 1.2531,                 1.3809,                0.71152,                0.63342,                0.68988,                 0.4708,                 1.1761,                 1.1498,                 1.4567,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1759,                 1.1638,                 1.3428,                0.75154,                 0.7412,                0.78029,                0.56566,                 1.0357,                 1.0558,                 1.3278,               0.001601,               0.001601,               0.001601
                      6,                 1.1214,                 1.0412,                 1.3081,                0.72697,                 0.7261,                0.76106,                0.56732,                 1.0036,                 0.9776,                 1.3277,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0926,                0.98479,                 1.2903,                0.84166,                0.71008,                0.79973,                0.59316,                0.97592,                0.85976,                 1.2957,               0.001568,               0.001568,               0.001568
                      8,                 1.0585,                 0.9553,                 1.2716,                0.70178,                0.60089,                0.70308,                0.54145,                0.91443,                 1.1662,                 1.2558,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0524,                0.92614,                 1.2646,                0.76218,                0.74362,                0.81893,                0.63489,                0.83662,                 0.8144,                 1.1898,               0.001535,               0.001535,               0.001535
                     10,                 1.0296,                0.87116,                 1.2431,                0.86785,                0.75942,                0.83001,                 0.6485,                0.83607,                0.71933,                 1.1764,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.004,                0.86099,                 1.2231,                0.76689,                0.82598,                 0.8298,                0.65453,                0.79972,                0.73391,                 1.1731,               0.001502,               0.001502,               0.001502
                     12,                0.99756,                0.84754,                 1.2182,                  0.807,                0.73112,                0.81821,                0.63819,                0.81206,                0.75206,                  1.161,              0.0014855,              0.0014855,              0.0014855
                     13,                 0.9504,                0.80538,                  1.197,                0.83593,                0.77577,                0.84972,                0.67497,                0.78864,                0.72175,                 1.1584,               0.001469,               0.001469,               0.001469
                     14,                0.94299,                0.79989,                 1.1982,                0.86393,                0.81402,                0.87991,                0.70086,                0.78107,                0.58622,                 1.1426,              0.0014525,              0.0014525,              0.0014525
                     15,                0.92017,                0.76337,                 1.1788,                0.84168,                0.73174,                0.82905,                0.65412,                0.75687,                0.70827,                 1.1424,               0.001436,               0.001436,               0.001436
                     16,                0.91899,                0.76585,                 1.1738,                0.86231,                0.75413,                0.86018,                0.68282,                0.77374,                0.65258,                 1.1374,              0.0014195,              0.0014195,              0.0014195
                     17,                 0.9069,                0.74039,                 1.1621,                0.86188,                0.80968,                0.85772,                0.66929,                0.79057,                0.63352,                 1.1764,              0.0014029,              0.0014029,              0.0014029
                     18,                0.89611,                0.73849,                 1.1625,                0.86828,                0.81645,                0.87263,                0.70268,                0.71843,                0.58438,                 1.1075,              0.0013864,              0.0013864,              0.0013864
                     19,                0.86937,                0.70135,                 1.1464,                0.84112,                0.79783,                0.87394,                0.69811,                0.73065,                0.58527,                 1.0911,              0.0013699,              0.0013699,              0.0013699
                     20,                0.85982,                0.69425,                 1.1414,                0.86927,                0.85587,                0.90419,                0.71283,                0.76043,                0.54253,                 1.1164,              0.0013534,              0.0013534,              0.0013534
                     21,                0.85817,                0.68678,                 1.1382,                0.89528,                0.82411,                0.88881,                 0.7011,                 0.7387,                0.61049,                 1.1053,              0.0013369,              0.0013369,              0.0013369
                     22,                0.84509,                0.69416,                 1.1341,                0.88249,                0.80992,                0.89014,                0.71527,                0.73645,                0.54394,                 1.1158,              0.0013204,              0.0013204,              0.0013204
                     23,                0.84077,                0.68092,                 1.1331,                0.94887,                0.83257,                0.91498,                0.74752,                 0.6881,                0.51814,                 1.0868,              0.0013039,              0.0013039,              0.0013039
                     24,                0.82294,                0.66809,                  1.121,                0.88437,                0.83804,                0.88223,                 0.7188,                0.67128,                0.53907,                 1.0587,              0.0012874,              0.0012874,              0.0012874
                     25,                0.82127,                0.66992,                 1.1188,                0.87779,                0.82832,                0.88749,                0.72109,                0.67477,                0.59731,                 1.0662,              0.0012709,              0.0012709,              0.0012709
                     26,                0.80692,                0.64768,                 1.1104,                0.91334,                0.84849,                0.91378,                  0.744,                0.66504,                0.47885,                  1.055,              0.0012544,              0.0012544,              0.0012544
                     27,                0.80001,                0.63236,                 1.1018,                0.92307,                0.85776,                  0.924,                0.75972,                0.65934,                  0.487,                  1.064,              0.0012379,              0.0012379,              0.0012379
                     28,                0.79105,                0.64232,                 1.1037,                0.87035,                0.84043,                0.89486,                0.74262,                0.63281,                 0.5421,                 1.0476,              0.0012214,              0.0012214,              0.0012214
                     29,                0.78413,                0.63214,                 1.0978,                0.89311,                0.84209,                 0.8843,                0.73292,                 0.6536,                0.50258,                 1.0483,              0.0012049,              0.0012049,              0.0012049
                     30,                0.78289,                0.62186,                 1.0962,                0.92331,                0.84171,                0.89755,                 0.7556,                0.61472,                0.46358,                 1.0213,              0.0011884,              0.0011884,              0.0011884
                     31,                0.76969,                0.60106,                 1.0892,                0.91352,                0.80395,                0.88395,                0.73137,                0.65728,                0.50172,                 1.0591,              0.0011719,              0.0011719,              0.0011719
                     32,                0.75643,                0.60152,                 1.0782,                0.89041,                0.87344,                0.92353,                0.76961,                0.62046,                0.45838,                 1.0223,              0.0011554,              0.0011554,              0.0011554
                     33,                0.75956,                 0.5969,                 1.0833,                0.85646,                 0.8687,                0.90033,                0.74636,                0.62154,                0.47043,                  1.021,              0.0011389,              0.0011389,              0.0011389
                     34,                0.74646,                0.58489,                 1.0723,                0.89821,                0.87684,                0.91835,                0.75156,                0.62418,                0.46026,                 1.0303,              0.0011224,              0.0011224,              0.0011224
                     35,                0.73171,                0.58569,                 1.0679,                0.88255,                0.91212,                0.93022,                0.77534,                0.62167,                0.42285,                 1.0203,              0.0011059,              0.0011059,              0.0011059
                     36,                0.73001,                0.57433,                 1.0643,                 0.9109,                  0.835,                0.89417,                0.75949,                0.59604,                0.48211,                 1.0164,              0.0010894,              0.0010894,              0.0010894
                     37,                0.72537,                0.56883,                 1.0659,                0.91539,                0.85268,                0.91009,                0.77262,                0.58956,                0.44422,                 1.0194,              0.0010729,              0.0010729,              0.0010729
                     38,                  0.726,                0.57674,                 1.0657,                0.91569,                0.85007,                0.91259,                0.76628,                0.60295,                0.43875,                 1.0093,              0.0010564,              0.0010564,              0.0010564
                     39,                0.71437,                0.56725,                 1.0533,                0.93706,                0.87985,                0.93205,                0.76899,                0.61053,                0.41973,                 1.0134,              0.0010399,              0.0010399,              0.0010399
                     40,                0.70591,                0.55139,                 1.0501,                0.94288,                0.84171,                 0.9231,                0.77953,                0.59195,                0.43498,                 1.0177,              0.0010234,              0.0010234,              0.0010234
                     41,                0.69914,                0.55411,                 1.0465,                0.93232,                0.86339,                0.92915,                0.77779,                0.58701,                0.42423,                0.98798,              0.0010069,              0.0010069,              0.0010069
                     42,                0.70511,                0.54157,                 1.0508,                0.94782,                0.86441,                0.93269,                0.77756,                0.58655,                0.42838,                 1.0062,             0.00099036,             0.00099036,             0.00099036
                     43,                0.68819,                0.54133,                 1.0445,                0.91698,                0.85587,                0.91885,                0.79817,                0.56198,                 0.4179,                0.98897,             0.00097386,             0.00097386,             0.00097386
                     44,                0.68152,                0.53779,                 1.0374,                0.94508,                0.82744,                0.91932,                0.79152,                0.55153,                0.41894,                 1.0012,             0.00095736,             0.00095736,             0.00095736
                     45,                0.67009,                0.52548,                 1.0382,                0.89152,                0.88803,                0.92708,                0.79547,                0.54686,                0.39112,                0.97509,             0.00094085,             0.00094085,             0.00094085
                     46,                0.67158,                0.52607,                 1.0366,                0.96589,                0.83947,                0.92538,                0.79313,                0.56593,                0.40424,                0.98506,             0.00092435,             0.00092435,             0.00092435
                     47,                0.67345,                0.52205,                 1.0353,                0.95973,                0.83887,                 0.9274,                0.79362,                0.55869,                0.38753,                0.98896,             0.00090785,             0.00090785,             0.00090785
                     48,                0.65971,                0.50727,                 1.0287,                0.96577,                 0.8713,                0.93442,                0.81113,                0.53057,                0.37835,                0.96854,             0.00089134,             0.00089134,             0.00089134
                     49,                0.65771,                0.50571,                  1.033,                0.95594,                0.88664,                0.94548,                0.80036,                0.56892,                0.38981,                 1.0013,             0.00087484,             0.00087484,             0.00087484
                     50,                0.67211,                0.51734,                 1.0359,                0.96044,                0.85814,                0.92761,                0.79567,                0.54159,                0.39021,                0.98309,             0.00085834,             0.00085834,             0.00085834
                     51,                0.64184,                0.51184,                 1.0259,                 0.9305,                0.85268,                0.91492,                0.79269,                0.54169,                0.37912,                0.98027,             0.00084184,             0.00084184,             0.00084184
                     52,                0.64469,                0.49554,                 1.0231,                0.91899,                0.88393,                0.93582,                0.81052,                0.50897,                0.37144,                0.95772,             0.00082533,             0.00082533,             0.00082533
                     53,                0.63637,                0.50028,                 1.0203,                0.92053,                0.89528,                0.93151,                0.80687,                 0.5274,                0.35992,                0.97902,             0.00080883,             0.00080883,             0.00080883
                     54,                0.62631,                0.49121,                 1.0084,                0.89803,                0.87226,                0.92412,                0.79227,                0.55931,                0.41115,                0.99263,             0.00079233,             0.00079233,             0.00079233
                     55,                0.63919,                0.49135,                 1.0223,                0.92865,                0.87071,                0.92351,                0.79664,                0.52636,                0.37552,                0.96685,             0.00077582,             0.00077582,             0.00077582
                     56,                0.63198,                0.48262,                 1.0157,                0.95757,                0.84209,                0.92571,                0.80751,                0.52389,                 0.3745,                0.96137,             0.00075932,             0.00075932,             0.00075932
                     57,                0.63215,                0.48613,                 1.0178,                0.91901,                0.87161,                0.91898,                0.79529,                0.53287,                0.36387,                0.97109,             0.00074282,             0.00074282,             0.00074282
                     58,                0.62333,                0.48199,                 1.0158,                0.90274,                0.90105,                0.93606,                0.81584,                0.50135,                  0.352,                0.95939,             0.00072631,             0.00072631,             0.00072631
                     59,                0.60695,                0.46786,                 1.0019,                0.90499,                0.90625,                0.92814,                0.80881,                0.52325,                0.34333,                0.98523,             0.00070981,             0.00070981,             0.00070981
                     60,                0.59842,                 0.4496,                 1.0033,                0.94515,                  0.875,                0.92488,                0.80881,                0.50322,                0.35945,                 0.9598,             0.00069331,             0.00069331,             0.00069331
                     61,                 0.6033,                0.47205,                 1.0023,                0.91531,                0.90354,                0.93876,                0.81603,                0.50955,                0.38056,                0.97572,              0.0006768,              0.0006768,              0.0006768
                     62,                0.58986,                0.45559,                0.99611,                0.94315,                0.88635,                 0.9398,                0.81271,                0.49777,                0.34809,                0.96246,              0.0006603,              0.0006603,              0.0006603
                     63,                0.59619,                0.46643,                0.99922,                0.94405,                0.87946,                0.92772,                0.81829,                0.48755,                0.34695,                0.95798,              0.0006438,              0.0006438,              0.0006438
                     64,                0.58939,                0.44339,                0.99368,                0.96905,                0.85995,                0.94071,                0.82036,                0.49214,                0.35817,                0.96223,             0.00062729,             0.00062729,             0.00062729
                     65,                0.58351,                 0.4472,                0.99194,                0.92708,                 0.8976,                0.93707,                0.82294,                0.48568,                0.33618,                 0.9529,             0.00061079,             0.00061079,             0.00061079
                     66,                0.57318,                0.44531,                 0.9917,                0.94169,                 0.8952,                0.93635,                0.82053,                0.47492,                0.32497,                  0.949,             0.00059429,             0.00059429,             0.00059429
                     67,                0.57294,                0.43689,                0.98877,                0.92692,                0.90074,                0.93789,                0.82731,                0.45924,                0.32645,                0.93938,             0.00057778,             0.00057778,             0.00057778
                     68,                0.56387,                0.42943,                0.98272,                0.93997,                0.88189,                0.93198,                0.82425,                0.46775,                0.32267,                0.94006,             0.00056128,             0.00056128,             0.00056128
                     69,                0.56559,                0.43511,                0.98709,                0.94038,                0.88887,                0.93954,                0.82827,                0.46468,                0.31323,                0.94136,             0.00054478,             0.00054478,             0.00054478
                     70,                0.56173,                0.42781,                 0.9879,                0.93531,                0.89732,                0.93878,                0.83237,                  0.464,                0.32637,                0.94223,             0.00052827,             0.00052827,             0.00052827
                     71,                0.56468,                0.42521,                 0.9809,                0.96618,                0.87015,                0.93076,                0.82052,                0.47289,                0.33819,                0.95684,             0.00051177,             0.00051177,             0.00051177
                     72,                0.55972,                0.42159,                0.98674,                0.96599,                0.85151,                0.93293,                0.82542,                0.47643,                0.32976,                0.94531,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.5467,                0.41665,                0.97896,                0.93449,                0.89732,                0.93681,                0.82708,                0.46534,                0.32441,                0.94322,             0.00047876,             0.00047876,             0.00047876
                     74,                0.53808,                0.40791,                0.97268,                0.94312,                0.88996,                0.94196,                0.83569,                0.45391,                0.32026,                0.93845,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.5407,                0.39784,                0.97333,                0.97578,                0.86743,                0.93705,                0.82361,                  0.475,                0.31268,                0.95573,             0.00044576,             0.00044576,             0.00044576
                     76,                0.53306,                0.39789,                0.96912,                0.93121,                0.90059,                0.94331,                0.83566,                0.45959,                0.31242,                0.93939,             0.00042925,             0.00042925,             0.00042925
                     77,                0.52552,                0.39793,                0.96929,                 0.9416,                0.91303,                0.94502,                0.83733,                0.46933,                0.31419,                0.95273,             0.00041275,             0.00041275,             0.00041275
                     78,                0.52805,                0.39907,                0.97048,                  0.936,                0.89696,                0.93377,                0.82833,                0.47586,                0.33022,                0.96028,             0.00039625,             0.00039625,             0.00039625
                     79,                0.52433,                0.39733,                0.96624,                0.96493,                0.89286,                0.94313,                0.83434,                 0.4533,                0.30497,                0.93704,             0.00037974,             0.00037974,             0.00037974
                     80,                0.52502,                0.39247,                0.96843,                0.88928,                0.91368,                 0.9309,                0.82517,                0.45787,                0.33119,                 0.9385,             0.00036324,             0.00036324,             0.00036324
                     81,                0.52265,                0.39197,                0.96652,                0.98841,                0.87583,                0.94137,                0.83674,                0.45178,                0.29502,                0.94037,             0.00034674,             0.00034674,             0.00034674
                     82,                0.52199,                  0.398,                0.96579,                0.94057,                0.90179,                0.94591,                 0.8354,                 0.4563,                0.30423,                0.94228,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.5075,                0.38638,                0.96092,                0.92997,                0.91076,                0.94113,                0.84159,                 0.4355,                0.30488,                0.92719,             0.00031373,             0.00031373,             0.00031373
                     84,                0.49624,                0.37334,                0.95652,                0.92827,                0.91071,                0.94328,                0.84232,                0.43287,                 0.3034,                0.92593,             0.00029723,             0.00029723,             0.00029723
                     85,                0.50717,                0.38673,                0.95836,                0.94406,                0.90179,                  0.939,                0.83354,                0.43178,                0.29382,                0.93113,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.4947,                0.37023,                0.95725,                0.91477,                0.89641,                0.92912,                0.83255,                0.43404,                0.29697,                 0.9288,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.4979,                 0.3703,                0.95569,                0.94827,                0.89527,                0.93204,                0.83636,                0.44261,                 0.3008,                0.94324,             0.00024772,             0.00024772,             0.00024772
                     88,                0.49866,                0.37435,                0.96131,                0.91479,                0.89735,                0.92922,                0.83535,                0.43508,                0.30179,                0.93987,             0.00023121,             0.00023121,             0.00023121
                     89,                0.48984,                0.36613,                 0.9493,                0.91947,                0.91071,                0.92972,                0.83488,                0.44028,                0.30111,                0.93987,             0.00021471,             0.00021471,             0.00021471
                     90,                0.47996,                0.36339,                0.95347,                 0.9248,                0.89528,                0.93352,                0.83908,                0.43216,                0.29323,                0.93612,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.3404,                 0.2474,                0.85854,                0.95464,                0.85645,                0.92708,                0.83254,                0.45322,                  0.304,                0.95406,              0.0001817,              0.0001817,              0.0001817
                     92,                0.32926,                0.22801,                0.85038,                0.93906,                0.89543,                0.92883,                0.82704,                0.44609,                 0.3058,                0.95399,              0.0001652,              0.0001652,              0.0001652
                     93,                0.31859,                0.22371,                0.85356,                0.92503,                0.88393,                  0.928,                 0.8289,                 0.4434,                 0.3051,                0.94746,              0.0001487,              0.0001487,              0.0001487
                     94,                0.31101,                0.21673,                0.84791,                0.93811,                 0.9145,                0.93462,                0.83634,                0.42901,                0.29582,                0.94104,             0.00013219,             0.00013219,             0.00013219
                     95,                0.30584,                0.21523,                0.85009,                0.94182,                0.89286,                0.93027,                0.84082,                 0.4253,                0.28888,                0.94356,             0.00011569,             0.00011569,             0.00011569
                     96,                0.29826,                 0.2088,                0.84466,                0.95302,                 0.9006,                 0.9287,                0.83729,                0.42473,                0.28666,                0.93794,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.29628,                0.20908,                0.84349,                0.92914,                0.90496,                0.92924,                0.83568,                 0.4238,                0.29117,                0.93607,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.29363,                0.20388,                0.83792,                0.93712,                0.90909,                0.93199,                0.83906,                0.42223,                0.29581,                0.93506,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.2932,                0.20356,                0.83766,                0.93303,                0.91518,                0.93078,                0.83785,                0.42022,                0.29548,                0.93049,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.29046,                 0.2023,                0.83964,                0.92907,                0.91071,                0.92861,                0.83875,                0.41727,                0.29821,                0.92957,             3.3173e-05,             3.3173e-05,             3.3173e-05
